type,Province Name,Province Code,City Name,City Code,Area Name,Area Code
区县,安徽省（皖）,340000,亳州市,341600,谯城区,341602
区县,安徽省（皖）,340000,亳州市,341600,涡阳县,341621
区县,安徽省（皖）,340000,亳州市,341600,蒙城县,341622
区县,安徽省（皖）,340000,亳州市,341600,利辛县,341623
城市,安徽省（皖）,340000,池州市,341700
区县,安徽省（皖）,340000,池州市,341700,贵池区,341702
区县,安徽省（皖）,340000,池州市,341700,东至县,341721
区县,安徽省（皖）,340000,池州市,341700,石台县,341722
区县,安徽省（皖）,340000,池州市,341700,青阳县,341723
城市,安徽省（皖）,340000,宣城市,341800
区县,安徽省（皖）,340000,宣城市,341800,宣州区,341802
区县,安徽省（皖）,340000,宣城市,341800,宁国市,341881
区县,安徽省（皖）,340000,宣城市,341800,广德市,341882
区县,安徽省（皖）,340000,宣城市,341800,郎溪县,341821
区县,安徽省（皖）,340000,宣城市,341800,泾县,341823
区县,安徽省（皖）,340000,宣城市,341800,绩溪县,341824
区县,安徽省（皖）,340000,宣城市,341800,旌德县,341825
省份,福建省（闽）,350000
城市,福建省（闽）,350000,福州市,350100
区县,福建省（闽）,350000,福州市,350100,鼓楼区,350102
区县,福建省（闽）,350000,福州市,350100,台江区,350103
区县,福建省（闽）,350000,福州市,350100,仓山区,350104
区县,福建省（闽）,350000,福州市,350100,马尾区,350105
区县,福建省（闽）,350000,福州市,350100,晋安区,350111
区县,福建省（闽）,350000,福州市,350100,长乐区,350112
区县,福建省（闽）,350000,福州市,350100,福清市,350181
区县,福建省（闽）,350000,福州市,350100,闽侯县,350121
区县,福建省（闽）,350000,福州市,350100,连江县,350122
区县,福建省（闽）,350000,福州市,350100,罗源县,350123
区县,福建省（闽）,350000,福州市,350100,闽清县,350124
区县,福建省（闽）,350000,福州市,350100,永泰县,350125
区县,福建省（闽）,350000,福州市,350100,平潭县,350128
城市,福建省（闽）,350000,厦门市,350200
区县,福建省（闽）,350000,厦门市,350200,思明区,350203
区县,福建省（闽）,350000,厦门市,350200,海沧区,350205
区县,福建省（闽）,350000,厦门市,350200,湖里区,350206
区县,福建省（闽）,350000,厦门市,350200,集美区,350211
区县,福建省（闽）,350000,厦门市,350200,同安区,350212
区县,福建省（闽）,350000,厦门市,350200,翔安区,350213
城市,福建省（闽）,350000,莆田市,350300
区县,福建省（闽）,350000,莆田市,350300,城厢区,350302
区县,福建省（闽）,350000,莆田市,350300,涵江区,350303
区县,福建省（闽）,350000,莆田市,350300,荔城区,350304
区县,福建省（闽）,350000,莆田市,350300,秀屿区,350305
区县,福建省（闽）,350000,莆田市,350300,仙游县,350322
城市,福建省（闽）,350000,三明市,350400
区县,福建省（闽）,350000,三明市,350400,三元区,350404
区县,福建省（闽）,350000,三明市,350400,沙县区,350405
区县,福建省（闽）,350000,三明市,350400,永安市,350481
区县,福建省（闽）,350000,三明市,350400,明溪县,350421
区县,福建省（闽）,350000,三明市,350400,清流县,350423
区县,福建省（闽）,350000,三明市,350400,宁化县,350424
区县,福建省（闽）,350000,三明市,350400,大田县,350425
区县,福建省（闽）,350000,三明市,350400,尤溪县,350426
区县,福建省（闽）,350000,三明市,350400,将乐县,350428
区县,福建省（闽）,350000,三明市,350400,泰宁县,350429
区县,福建省（闽）,350000,三明市,350400,建宁县,350430
城市,福建省（闽）,350000,泉州市,350500
区县,福建省（闽）,350000,泉州市,350500,丰泽区,350503
区县,福建省（闽）,350000,泉州市,350500,鲤城区,350502
区县,福建省（闽）,350000,泉州市,350500,洛江区,350504
区县,福建省（闽）,350000,泉州市,350500,泉港区,350505
区县,福建省（闽）,350000,泉州市,350500,石狮市,350581
区县,福建省（闽）,350000,泉州市,350500,晋江市,350582
区县,福建省（闽）,350000,泉州市,350500,南安市,350583
区县,福建省（闽）,350000,泉州市,350500,惠安县,350521
区县,福建省（闽）,350000,泉州市,350500,安溪县,350524
区县,福建省（闽）,350000,泉州市,350500,永春县,350525
区县,福建省（闽）,350000,泉州市,350500,德化县,350526
区县,福建省（闽）,350000,泉州市,350500,金门县☆,350527
城市,福建省（闽）,350000,漳州市,350600
区县,福建省（闽）,350000,漳州市,350600,龙文区,350603
区县,福建省（闽）,350000,漳州市,350600,芗城区,350602
区县,福建省（闽）,350000,漳州市,350600,龙海区,350604
区县,福建省（闽）,350000,漳州市,350600,长泰区,350605
区县,福建省（闽）,350000,漳州市,350600,云霄县,350622
区县,福建省（闽）,350000,漳州市,350600,漳浦县,350623
区县,福建省（闽）,350000,漳州市,350600,诏安县,350624
区县,福建省（闽）,350000,漳州市,350600,东山县,350626
区县,福建省（闽）,350000,漳州市,350600,南靖县,350627
区县,福建省（闽）,350000,漳州市,350600,平和县,350628
区县,福建省（闽）,350000,漳州市,350600,华安县,350629
城市,福建省（闽）,350000,南平市,350700
区县,福建省（闽）,350000,南平市,350700,建阳区,350703
区县,福建省（闽）,350000,南平市,350700,延平区,350702
区县,福建省（闽）,350000,南平市,350700,邵武市,350781
区县,福建省（闽）,350000,南平市,350700,武夷山市,350782
区县,福建省（闽）,350000,南平市,350700,建瓯市,350783
区县,福建省（闽）,350000,南平市,350700,顺昌县,350721
区县,福建省（闽）,350000,南平市,350700,浦城县,350722
区县,福建省（闽）,350000,南平市,350700,光泽县,350723
区县,福建省（闽）,350000,南平市,350700,松溪县,350724
区县,福建省（闽）,350000,南平市,350700,政和县,350725
城市,福建省（闽）,350000,龙岩市,350800
区县,福建省（闽）,350000,龙岩市,350800,新罗区,350802
区县,福建省（闽）,350000,龙岩市,350800,永定区,350803
区县,福建省（闽）,350000,龙岩市,350800,漳平市,350881
区县,福建省（闽）,350000,龙岩市,350800,长汀县,350821
区县,福建省（闽）,350000,龙岩市,350800,上杭县,350823
区县,福建省（闽）,350000,龙岩市,350800,武平县,350824
区县,福建省（闽）,350000,龙岩市,350800,连城县,350825
城市,福建省（闽）,350000,宁德市,350900
区县,福建省（闽）,350000,宁德市,350900,蕉城区,350902
